rowid,issue,summary
279,"user interface and design issues","Notification counter issue"
280,"technical glitches","App requested 2-factor authentication setup"
281,"other","Request for auto setting screen size"
284,"technical difficulties during registration and setup","Downloaded, setup issue"
287,"none","Redeeming rice coupon issue"
289,"UI/UX","Love but issues with app"
294,"technical glitches","App testing issue reported"
297,"Difficulty applying credit card, savings account","System link issue to Myinfo"
298,"other","Difficulty using Trust Wallet"
300,"other","Excessive marketing notifications"
301,"login issues","No ipad login pop up"
304,"Long Wait Times","Long waiting times for attractive offering"
305,"other","Worked well with Touch ID, but issue"
309,"other","User finds app friendly"
310,"Difficulty applying credit card","New account creation delay"
311,"Difficulty applying credit card, savings account","App issue: Difficulty applying credit card, savings account"
313,"technical difficulties during registration and setup","Travel insurance error message"
314,"other","Need notifications to open app"
315,"other","Wants transaction date ordering"
319,"Difficulty applying credit card","Noticed new Trust App"
325,"Difficulty applying for a savings account","Unable to set up account"
326,"other","App under maintenance"
328,"other","Credit card application process issue"
330,"other","Could not use app after 1 month"
331,"other","User wants to share account access"
332,"login issues","Unable to log in since changing phone"
336,"other","Can't use nickname"
337,"none","App experience causes login difficulties"
338,"login issues","Unable to log in"
342,"other","Missing transaction indicators"
348,"technical glitches","App hangs during sign up"
349,"Difficulty applying credit card","disappointed with app"
351,"Long Wait Times","Could not transfer funds"
355,"difficulty_applying_credit_card","Can't reinstall app twice"
357,"other","Improve push notifications"
360,"other","Fast app, issues with applying"
363,"other","Recommending preferred card"
367,"other","Easy to use bank app"
369,"Difficulty applying credit card","Wants more features"
370,"other","Requested more online features"
373,"Difficulty applying credit card, savings account","Sign up attempt failed multiple times"
375,"technical glitches","Unable to access app"
377,"Difficulty applying credit card, savings account","Considering not signing up due to app"
378,"other","Collects data from Singpass"
380,"Difficulty applying credit card","Applied saving, but process ended"
387,"other","no Passioncard support"
389,"login issues","Singpass login issue"
390,"other","Many one star ratings"
393,"other","Forces app usage"
396,"Difficulty applying credit card","Old iPhone model with latest iOS"
399,"other","User kept receiving notifications"
401,"technical glitches","Agree button issue"
404,"other","Long initial load time"
405,"Difficulty applying credit card, savings account","Unable to adjust settings"
408,"other","Can't reactivate biometrics"
409,"login issues","Unable to login after changing phone"
411,"other","Enable/Disable feature issue"
417,"login issues","Unable to log in"
419,"technical glitches","Trying to access app"
421,"Difficulty applying credit card, savings account","App error message"
425,"other","Needs bonus feature in app"
427,"technical difficulties during registration and setup","App hung during card application"
429,"other","Difficulty finding options"
430,"technical difficulties during registration and setup","Face biometric reactivation issue"
431,"login issues","Cannot login after reinstall"
434,"Difficulty applying credit card","Can't use MyInfo for credit card application"
435,"Difficulty applying credit card","Frustrating card use experience"
439,"other","Learning about Singapore"
445,"Login issues","Unable to log in, payment issue"
446,"other","Frequent updates irritate user"
447,"other","Mistook debit for credit card"
448,"technical glitches","Unable to connect, error message"
451,"Difficulty applying credit card","Unable to proceed credit card application"
456,"Account Access Issues","Skeptical about going digital only"
457,"login issues","Unable to login repeatedly"
458,"other","app asking for notifications"
461,"technical glitches","Unable to apply account via login"
462,"other","Request for local offers widget"
465,"Singpass authentication issues","Singpass identification issue"
467,"other","Face ID not working"
471,"login issues","Request for push notifications"
472,"UI/UX","Clean UX needs improvement"
474,"Long Wait Times","App slow to load data"
477,"technical glitches","App can't open several weeks"
480,"other","Fails on phone change"
483,"other","Two week old link issue"
485,"other","Issue with coupon count"
486,"other","QR code scanning issue"
490,"difficulty applying credit card, savings account","Savings account auto-application"
491,"user interface and design issues","App won't close notifications"
494,"Difficulty applying credit card, savings account","Missing phone number field"
496,"technical difficulties during registration and setup","Unable to register PayNow account"
499,"technical glitches","App not loading on ios16"
500,"technical glitches","App stuck on main page"
502,"technical glitches","Uncertain notifications"
505,"technical difficulties during registration and setup","Failed new account sign-up"
507,"other","Lousy app, poor customer service, unspecified charges"
511,"technical difficulties during registration and setup","Registration process error"
512,"other","Gen Z interest doubt"
513,"technical glitches","App fails, try again required"
514,"technical difficulties during registration and setup","Unsuccessful sign-up process"
522,"other","Instant approval delay"
523,"other","App error message"
526,"technical difficulties during registration and setup","Unable to use Face ID"
527,"long wait times","App pending status issue"
528,"Difficulty applying credit card","No link for Ntuc application"
529,"technical glitches","Unable to load app for 2 weeks"
530,"user interface and design issues","Too many deals on one page"
531,"Difficulty applying credit card, savings account","Error applying for saving account"
532,"other","Application process for credit card"
533,"technical difficulties during registration and setup","Issue with new sign up"
535,"technical difficulties","Not functioning post-update"
541,"Long Wait Times","App bot approval delay"
543,"Long Wait Times","App alleged to have fake support"
544,"other","Received unwanted email invitation"
547,"other","Did not understand card registration"
549,"technical glitches","App won't load"
550,"other","Sign up issue, missed coupon"
551,"other","App failed PayNow specs"
554,"technical glitches","New user login issue"
555,"technical glitches","Cannot open App post-download"
557,"technical glitches","App does not load on iPhone XS"
558,"other","App perceived as exclusive"
559,"login issues","Sign-up success, but unable to login"
563,"other","Request for monthly statement download"
567,"Long Wait Times","Reported bug, promised resolution"
570,"Long Wait Times","Request for customer service contact info"
571,"other","Slow and unhelpful"
574,"user interface and design issues","Screen content not fully displayed"
576,"The user interface is not intuitive and I'm having trouble finding certain features.","Difficult to use"
577,"other","Useless app"
578,"Difficulty applying credit card, savings account","Terrible app, application issue"
579,"other","preferences for digital banks"
583,"other","App is smoother than before"
586,"none","App crashes"
590,"Difficulty applying credit card, savings account","Referred, long application process"
591,"other","Emojis cluttering app interface"
592,"other","Customer finds app cool"
593,"other","Multiple vouchers to use"
594,"technical glitches","App won't launch"
602,"other","App showing pending transactions"
606,"other","Customer querying card colour"
608,"other","Coupon usage issue"
610,"technical difficulties during registration and setup","Unable to scan QR code for payment"
612,"other","Convenient for children"
614,"technical glitches","Poor UX/UI, constant errors"
616,"other","Enjoyed canteen, not related"
617,"technical glitches","Cannot access app"
618,"other","App frequently crashes"
633,"other","Account interface issue: Neng lyn"
638,"technical difficulties during registration and setup","QR code payment issue"
642,"login issues","Unable to login after sing-in change"
643,"other","Request for new app feature: pockets"
644,"login issues","Singpass login via QR issue"
648,"other","Limited chances"
650,"login issues","Unable to login after changing phone using Singpass"
651,"login issues","Prompts download"
652,"none","Sending money effective"
654,"other","Easy to use app"
656,"technical glitches","Unable to open app since October, software update unhelpful"
658,"other","App doesn't support QR code scanning"
659,"user interface and design issues","Switching feedback"
662,"other","Friend's referral code issue"
664,"none","Referral code promotion"
667,"technical difficulties during registration and setup","Long chat link"
669,"other","No QR code payment"
673,"other","Friend forwarded suspicious link"
696,"other","Asks for finger ID repeatedly"
697,"other","Not recognizing installed app"
698,"login issues","Fingerprint login failed"
699,"other","First-time registration issue with Singpass"
700,"other","Requested to ignore previous rating"
702,"login issues","Logging issue"
706,"other","Suggestion to save user inputs"
707,"none","Generic compliment"
709,"technical glitches","Cannot open app"
711,"other","Time-wasting app issue"
715,"login issues","Login issue, forgot password feature"
717,"other","Disappointed with gxbank app"
718,"technical difficulties during registration and setup","Can't set phone password"
722,"technical difficulties during registration and setup","Stuck on singpass page"
724,"technical difficulties during registration and setup","Sign up failure"
725,"login issues","Unable to login occasionally"
727,"other","Buggy app, low interest rate"
729,"other","User found download frustrating"
731,"technical glitches","Unable to open GXS app"
732,"other","Phone unavailable for use"
739,"technical glitches","App suddenly not working"
740,"other","Unsuccessful attempt"
741,"lack of expected features or functionality","Unable to add feature after months"
744,"other","Doubts about G&S bank integration"
745,"other","Asked to rate unprompted"
747,"login issues","Outdated app request"
748,"login issues","Login fails with Sing Pass"
749,"technical difficulties during registration and setup","Cannot set up account on Redmi 8T"
753,"other","Dumbest app, get own people"
756,"user interface and design issues","User finds app hard to use"
759,"user interface and design issues","Easy to use app"
760,"user interface and design issues","User finds app difficult"
767,"other","Misrepresentation of interest rates"
771,"other","App sucks"
772,"technical difficulties during registration and setup","Unable to sign up, uninstall app"
773,"Long Wait Times","long log-in wait"
774,"technical glitches","Paynow qr issue"
784,"technical difficulties during registration and setup","Registration issue"
786,"login issues","Login issue reported"
790,"technical glitches","Can't open GXS app"
791,"technical glitches","App keeps posting incorrect info"
792,"technical glitches","Unable to open app"
794,"login issues","Can't login to app"
795,"technical glitches","Error page issue"
796,"technical glitches","Unable to open the app"
797,"technical glitches","App won't open on certain devices"
800,"technical glitches","Unable to open app"
802,"other","Biometric authentication fails"
804,"technical glitches","App won't open"
805,"Account Access Issues","Attempting to redo application, closed account"
808,"login issues","Cannot log in, error message"
809,"technical glitches","Cannot open app"
810,"other","Zero chance of using"
811,"technical difficulties during registration and setup","Failed installation"
812,"Difficulty applying credit card, savings account","Unable to apply for loan"
814,"other","Unsatisfied with rates"
816,"technical glitches","Unable to open app"
817,"other","Bait and switch to standard chart"
818,"other","App error occurred"
819,"technical difficulties during registration and setup","Sign up failure"
820,"other","Customer reports trolling behavior"
821,"lack of expected features or functionality","Missing payee addition feature"
823,"other","Month-old app choice"
824,"technical glitches","Issue opening app"
829,"technical difficulties during registration and setup","Trouble signing up"
832,"other","Incomplete details"
833,"other","Registration process not smooth"
834,"technical difficulties during registration and setup","Unable to sign up"
835,"other","No SGQR support for payments"
836,"technical glitches","App keeps prompting user"
837,"technical difficulties during registration and setup","App setup takes too long"
840,"other","Lousy application response"
842,"other","All slots taken during sign up"
843,"technical glitches","Cannot open downloaded file"
844,"other","First screen issue"
845,"login issues","Unable to login or set up account"
846,"other","Wants to rate low"
847,"other","App outdated"
848,"other","Learning app navigation"
849,"UI/UX","App unclear, Singpass details missing"
850,"other","Buggy app, poor support"
852,"other","Sign up failed with no reason"
853,"other","Scan QR feature malfunctioned"
854,"login issues","Sign up success but login issue"
855,"login issues","App error reported"
857,"lack_of_expected_features_or_functionality","Wants save payee feature"
860,"technical difficulties during registration and setup","App can't auto start"
861,"other","Singpass screen freezes"
862,"lack of expected features or functionality","Request for payee addition feature"
863,"technical difficulties during registration and setup","Registration issue"
864,"login issues","App logs in forever"
865,"other","saw news about more slow updates"
867,"technical glitches","Cannot open downloaded app"
868,"technical difficulties during registration and setup","Sign-up screen goes blank"
869,"technical difficulties during registration and setup","Unable to sign up with Singpass"
870,"login issues","Time wasted downloading, repeated login issue"
871,"technical glitches","Freezes after login"
872,"technical difficulties during registration and setup","Singpass approval issue"
873,"other","Needs better pull-down refresh"
875,"technical glitches","App stalls at launch"
878,"other","No web option, app required"
880,"technical difficulties during registration and setup","App downloads technical issues"
881,"login issues","Setup issue during account login"
882,"technical glitches","Crash on new account login"
883,"login issues","Singpass implementation issue"
885,"other","Worst app experience, no resolution"
886,"technical glitches","App crashes frequently"
889,"Difficulty applying","Asked for info after sign up"
890,"technical glitches","Downloaded app few days ago"
891,"other","Misleading flexiloan ad"
892,"technical difficulties during registration and setup","Can't load, prompted to set password"
912,"Difficulty applying credit card","Card unlock feature issue"
916,"other","Customer asking about Samsung Pay readiness"
917,"other","App not allowing user control over risk settings"
919,"other","User-friendly Trust Bank SG app"
924,"technical glitches","App crashing frequently"
926,"UI/UX","App overwhelming"
928,"other","App doesn't trust user"
930,"other","Unable to use without notifications"
931,"other","Cannot pay now"
938,"other","Notifications needed for login"
940,"technical difficulties during registration and setup","Unclear usage instructions"
945,"technical glitches","App crashing issue"
946,"UI/UX","Difficult to find important info"
947,"login issues","Forces relogin after updates"
949,"other","Missing function"
953,"other","User found goof in the app"
955,"other","In-app call to customer service"
959,"login issues","Login failure"
963,"other","App alerts card issue"
964,"other","Requested support for Dashlane and Microsoft Authenticator"
965,"technical glitches","Scan-to-pay often unavailable"
966,"other","Transfer issue with App"
969,"Difficulty applying credit card","Cannot add card to Samsung Pay"
970,"technical glitches","App crashed during login"
972,"technical glitches","App failed to open"
975,"other","Notification about deal"
976,"other","System improved, rewards suggested"
977,"technical difficulties during registration and setup","Unable to download app"
978,"other","Used to sync with No..."
979,"technical glitches","App not recognizing trust"
980,"other","Request for whitelisting issue"
981,"other","Disagreement on purchase counting"
985,"UI/UX","Irrelevant ads bother user"
987,"other","Wasteful Trust bank SG app"
990,"other","App won't download"
991,"technical difficulties during registration and setup","Dissatisfied user calls app dumb"
992,"other","Disappointed with app performance"
993,"user interface and design","One of the worst apps: many bugs"
994,"technical glitches","worst app experience"
995,"login issues","Asking for excessive security confirmation"
996,"UI/UX, technical glitches","App is slow, prone to crashes"
997,"other","Asks for transaction info often"
998,"other","Outdated, glitchy app"
999,"other","Worst app ever seen"
1000,"login issues","Worst app experience"
1001,"technical glitches","Disappointed with the app"
1002,"UI/UX","Don't trust: app annoying"
1003,"other","weird, unwanted app"
1004,"other","Worst app for money sharing"
1005,"other","Very bad application"
1006,"other","Very bad application"
1007,"login issues","Login issues persist"
1008,"other","Below average app theme"
1009,"UI/UX","worst app ever"
1010,"technical difficulties during registration and setup","App performance issue"
1011,"other","Transaction handling issues"
1012,"other","Disliked app, seems bad"
1014,"other","Worst app ever"
1015,"technical glitches","App not functioning properly"
1016,"user interface and design issues, technical glitches, long wait times, unhelpful responses from customer support","Buggy interface sends money"
1017,"other","User finds app bad"
1019,"other","App not long-term"
1020,"login issues","Worst certility app ever"
1021,"other","Excessive ads, poor experience"
1022,"difficulty_applying_credit_card, savings_account","Feels important for security"
1023,"other","Bad application, sad user"
1024,"other","App intermittently not working"
1025,"other","Useless, unresponsive app"
1026,"UI/UX, performance","New UI causing lag"
1029,"Login issues","Asks for re-login repeatedly"
1030,"other","Useless for transaction inquiries"
1031,"technical difficulties during registration and setup","Prompted to re-setup app"
1032,"other","Good, but customer service"
1033,"other","Logout issue"
1036,"other","Customer suspects Norton security as malware"
1038,"technical glitches","asked to reset password multiple times"
1039,"other","Request for full name on card print"
1040,"technical glitches","App not responding after login"
1042,"technical glitches","App not responding prompted"
1043,"Difficulty applying credit card, savings account","Pin update issue"
1044,"other","Unclear contact info"
1045,"technical glitches","App kept requesting relogin"
1047,"other","Dissatisfied with app"
1049,"technical glitches","Scan and pay frequently fails"
1052,"other","Redeem starting voucher issue"
1053,"other","Competitive exchange rate comparison desired"
1055,"other","Fingerprint login issue"
1061,"login issues","Login deletion issue"
1062,"technical glitches","App crashes on Android"
1063,"other","Horrible app, loan ads issue"
1065,"transaction errors","Transaction issue"
1066,"login issues","Asks for repeated logins"
1067,"Difficulty applying credit card","Customer asking about account transfer"
1069,"technical difficulties during registration and setup","App forced re-setup TWIC"
1074,"other","Cannot uninstall app"
1076,"other","Called support asked to re-apply update"
1077,"technical glitches","App keeps crashing after login"
1079,"login issues","Login issues"
1081,"difficulty_applying_credit_card, savings_account","App security concerns expressed"
1082,"other","Notifications needed for login"
1083,"technical glitches","App crashes repeatedly"
1086,"login issues","App intermittently not working"
1088,"technical glitches","App crashes frequently"
1089,"technical glitches","Cannot open app after update"
1090,"Difficulty applying credit card","Customer seeking bill payment help"
1091,"other","App shows incorrect exchange rate"
1092,"other","Phone conflict with voice rec"
1093,"technical glitches","Buggy app requests relogin"
