rowid,bank,service,summary
107,GXS,banking,"Urgent access to funds request"
108,GXS,app,"Dissatisfied user deleted app"
109,GXS,app,"Positive feedback"
110,GXS,banking,"Funds blocked without transparency"
111,GXS,app,"User-friendly app navigation"
112,GXS,banking,"Unable to sign in"
113,GXS,app,"Questioning authenticity"
114,GXS,app,"User suggests saving feature"
115,GXS,app,"Positive comment"
116,GXS,app,"Missing payee save function"
117,GXS,app,"Review lacks clarity"
118,GXS,app,"Unable to join, open account"
119,GXS,app,"Likes great features"
120,GXS,app,"Good app"
121,GXS,banking,"First to reduce saving interest"
122,GXS,app,"Positive feedback"
123,GXS,none,"Positive comment"
124,GXS,app,"Unable to log in"
125,GXS,app,"Unclear review"
126,GXS,app,"PR and SP only"
127,GXS,app,"Exclamation of surprise"
128,GXS,app,"Rave review with numerous rocket emojis"
129,GXS,app,"Unable to make payment via Paynow QR"
130,GXS,banking,"Security vulnerability concern"
131,GXS,app,"iPad integration off"
132,Trust,banking,"Card locked unexpectedly"
133,Trust,none,"Long term user, happy"
134,Trust,bank,"Accidentally confirmed fraudulent transfer"
135,Trust,app,"Unintuitive interface"
136,Trust,bank,"Long term user expresses no issues"
137,Trust,banking,"First-time salaried employee issue"
138,Trust,app,"Approved credit card, slow process"
139,Trust,app,"Happy with Trust Card"
140,Trust,app,"Impressed with app"
141,Trust,banking,"Late payment, service level agreement"
142,Trust,banking,"Request for credit limit increase"
143,Trust,app,"Critical pointers review"
144,Trust,banking,"Customer requested waiver from Navind"
145,Trust,app,"Prefers banking app over traditional one"
146,Trust,banking,"Account locked due to multiple tries"
147,Trust,app,"Used Trust card in Taiwan"
148,Trust,app,"Why exclude some users?"
149,Trust,banking,"First transaction success, received reward"
150,Trust,app,"Smooth onboarding process"
151,Trust,app,"Can't login with Trust app"
152,Trust,app,"Happy with rewards"
153,Trust,app,"Expected digital bank, but issue found"
154,Trust,app,"One of the best app experiences"
155,Trust,app,"No gyro option for account linking"
156,Trust,app,"Missed promotion alert"
157,Trust,app,"Not compatible with I Phone SE 2"
158,Trust,app,"Clarity of features"
159,Trust,app,"Can't disable email notifs"
160,Trust,banking,"Bank's service is criticised"
161,Trust,app,"confusing design"
162,Trust,app,"Logged out, couldn't re-login"
163,Trust,banking,"Double charging issue"
164,Trust,bank,"Applied for savings account and card"
165,Trust,bank,"Application pending for weeks"
166,Trust,app,"Single login option"
167,Trust,banking,"Thorough check requested"
168,Trust,N/A,"New user expresses trust in bank"
169,Trust,app,"No complaints about Trust app"
170,Trust,banking,"Untrustworthy risk system, card issue"
171,Trust,banking,"Account locked during transfer"
172,Trust,app,"Sign-up issue after credit card registration"
173,Trust,app,"Issue with promo"
174,Trust,app,"App stuck during singpass profile retrieval"
175,Trust,bank,"Request to change account"
176,Trust,app,"App interruption"
177,Trust,app,"Promote banking app"
178,Trust,banking,"Can't trust bank"
179,Trust,banking,"Used Trust in Malaysia for major transactions"
180,Trust,none,"fast account opening"
181,Trust,app,"Quick rejection"
182,Trust,bank,"Unable to open account due to info issue"
183,Trust,bank,"Long app wait time for bank status"
184,Trust,app,"Loves convenient app"
185,Trust,app,"Must enable notifications"
186,Trust,app,"Informative card feature"
187,Trust,app,"iPhone 14 problem"
188,Trust,app,"5 minute long loading times"
189,Trust,app,"Stuck during info submission"
190,Trust,app,"Couldn't restore account after getting new phone"
191,Trust,app,"Praises digital banking benefits"
192,Trust,app,"Interrupted download"
193,Trust,app,"Worst app ever used"
194,Trust,app,"No need to go through hassle in app"
195,Trust,app,"Waste of time using Standard Chartered app"
196,Trust,app,"Stupid app, approved funds late"
197,Trust,banking,"Pending request for future date"
198,Trust,app,"Second user uncertainty"
199,Trust,banking,"1st month rebate missing"
200,Trust,app,"New credit card user feedback"
201,Trust,app,"Asked to create new account on login"
202,Trust,app,"Good app, mentions exchange rates"
203,Trust,bank,"Applied for credit card issue"
204,Trust,app,"Noticed varying mascots"
205,Trust,banking,"2 week approval delay"
206,Trust,app,"Thought card useful, then changed mind"
207,Trust,app,"Referred friend, $1 reward issue"
208,Trust,banking,"Customer has Trust account issue"
209,Trust,banking,"Customer pays bills early"
210,Trust,app,"Easy account opening"
211,Trust,bank,"Bank IT expert critical"
212,Trust,app,"Super fast, attractive rewards"
213,Trust,app,"Misleading sign-up fee"
214,Trust,app,"Praises clean interface"
215,Trust,app,"Inability to login"
216,Trust,app,"Phone change issue"
217,Trust,banking,"Account stuck during login"
218,Trust,bank,"Customer requesting bank fix"
219,Trust,app,"App order issue"
220,Trust,app,"Difficult sign-up process"
221,Trust,banking,"User missed overseas transaction alert"
222,Trust,app,"Friends' positive experiences"
223,Trust,bank,"Unable to open credit card account"
224,Trust,app,"Difficulty using app"
225,Trust,app,"Account approval process delay"
226,Trust,app,"Rewards details unclear"
227,Trust,app,"Appreciates design effort"
228,Trust,app,"New user downloaded app 3 months ago"
229,Trust,app,"Linking Singpass during registration"
230,Trust,app,"Long application process"
231,Trust,app,"Confusing navigation"
232,Trust,app,"Payment notifications unclear"
233,Trust,banking,"Helped mom access savings account"
234,Trust,app,"App malfunction, delayed credit card"
235,Trust,app,"Can't add credit card"
236,Trust,banking,"Easy late fee hit"
237,Trust,app,"Ironing out app kinks"
238,Trust,app,"Unable to login"
239,Trust,bank,"Prefer other services"
240,Trust,banking,"Long call wait, no response"
241,Trust,app,"Functionality issue"
242,Trust,banking,"Credit card, saving account availability"
243,Trust,app,"No scan pay function"
244,Trust,app,"Forces notifications off"
245,Trust,app,"Amazing app, praises products"
246,Trust,bank,"User offered choice for account type"
247,Trust,app,"New iPhone migration error"
248,Trust,app,"Copy card feature praise"
249,Trust,app,"Login issue"
250,Trust,signup,"Successfully signed up"
251,Trust,app,"Notification cards triggering incorrectly"
252,Trust,app,"Many voucher options"
253,Trust,app,"Long account setup, link credit card"
254,Trust,banking,"Union member issue"
255,Trust,app,"Security system triggering unnecessarily"
256,Trust,app,"Good design, mentions savings account"
257,Trust,app,"Quick sign up appreciated"
258,Trust,app,"Awesome debit card, loves coupons"
259,Trust,app,"Lost access after phone change"
260,Trust,banking,"Difficulty accessing multiple accounts"
261,Trust,app,"Easy to use interface"
262,Trust,app,"Issues with Trust app"
263,Trust,banking,"Everyone should bank with rewards"
264,Trust,app,"Saw ad on FP app"
265,Trust,app,"Short and sweet app praise"
266,Trust,app,"Ads despite opt-out"
267,Trust,banking,"Application under long review"
268,Trust,banking,"Account opening and first transaction"
269,Trust,bank,"new savings account unsatisfactory"
270,Trust,banking,"App sending incorrect dates"
271,Trust,banking,"NTUC cashier issue"
272,Trust,app,"App well developed"
273,Trust,banking,"Service is poor"
274,Trust,app,"Request for learning from competition"
275,Trust,app,"Likes discounts, vouchers"
276,Trust,app,"Prompted to create account"
277,Trust,app,"Overall usage is smooth"
278,Trust,bank,"Instantly approved card application"
279,Trust,app,"Notification counter issue"
280,Trust,app,"App requested 2-factor authentication setup"
281,Trust,app,"Request for auto setting screen size"
282,Trust,banking,"User suspects trust of bank"
283,Trust,app,"Good user experience"
284,Trust,app,"Downloaded, setup issue"
285,Trust,app,"Likes simple app design"
286,Trust,app,"Smooth onboarding"
287,Trust,app,"Redeeming rice coupon issue"
288,Trust,app,"Quick onboarding process"
289,Trust,app,"Love but issues with app"
290,Trust,banking,"Late fee warning"
291,Trust,banking,"No action taken"
292,Trust,app,"Praises convenience"
293,Trust,user_rating,"Customer glad bank doesn't fake reviews"
294,Trust,app,"App testing issue reported"
295,Trust,app,"User finds app user-friendly"
296,Trust,bank,"No new account option"
297,Trust,app,"System link issue to Myinfo"
298,Trust,app,"Difficulty using Trust Wallet"
299,Trust,bank,"No point without functionality"
300,Trust,app,"Excessive marketing notifications"
301,Trust,app,"No ipad login pop up"
302,Trust,app,"Easy opening savings account"
303,Trust,bank,"Read Q&A for banking trust"
304,Trust,app,"Long waiting times for attractive offering"
305,Trust,app,"Worked well with Touch ID, but issue"
306,Trust,app,"Cooler than other apps"
307,Trust,app,"Surprisingly quick sign up"
308,Trust,none,"Seamless sign up"
309,Trust,app,"User finds app friendly"
310,Trust,app,"New account creation delay"
311,Trust,app,"App issue: Difficulty applying credit card, savings account"
312,Trust,app,"Recommends app for demographic"
313,Trust,app,"Travel insurance error message"
314,Trust,app,"Need notifications to open app"
315,Trust,app,"Wants transaction date ordering"
316,Trust,banking,"Unsuccessful credit card application"
317,Trust,banking,"Unable to apply for credit card"
318,Trust,app,"Debit card rewards"
319,Trust,app,"Noticed new Trust App"
320,Trust,bank,"Applying for Trust credit card"
321,Trust,app,"User-friendly, smooth navigation"
322,Trust,app,"First time user experience"
323,Trust,none,"Loves vouchers, no issue"
324,Trust,app,"Easy setup"
325,Trust,app,"Unable to set up account"
326,Trust,app,"App under maintenance"
327,Trust,app,"Likes animated designs"
328,Trust,app,"Credit card application process issue"
329,Trust,app,"Prefer using the app"
330,Trust,app,"Could not use app after 1 month"
331,Trust,app,"User wants to share account access"
332,Trust,app,"Unable to log in since changing phone"
333,Trust,banking,"Physical card required at ATMs"
334,Trust,banking,"Fixing card issue"
335,Trust,app,"User-friendly app"
336,Trust,app,"Can't use nickname"
337,Trust,app,"App experience causes login difficulties"
338,Trust,app,"Unable to log in"
339,Trust,app,"Customer uses card abroad"
340,Trust,banking,"Unable to make online payment"
341,Trust,app,"Quick card application process"
342,Trust,app,"Missing transaction indicators"
343,Trust,app,"Good onboarding, credit card experience"
344,Trust,banking,"Helpful cashier interaction"
345,Trust,app,"User praises card functionality, general interaction"
346,Trust,app,"Used gojek stamp card successfully"
347,Trust,app,"Set up issue resolved"
348,Trust,app,"App hangs during sign up"
349,Trust,app,"disappointed with app"
350,Trust,none,"Machine-like bank"
351,Trust,app,"Could not transfer funds"
352,Trust,app,"Easy account opening, flexible process"
353,Trust,app,"Loves app setup, praises updates"
354,Trust,app,"Received many coupons, saving over $100"
355,Trust,app,"Can't reinstall app twice"
356,Trust,banking,"Double transaction issue"
357,Trust,app,"Improve push notifications"
358,Trust,banking,"SingPass application issue"
359,Trust,signup,"New user signup delay"
360,Trust,app,"Fast app, issues with applying"
361,Trust,app,"Easy onboarding process"
362,Trust,app,"Nice, improving app"
363,Trust,app,"Recommending preferred card"
364,Trust,app,"Mom helped sign up"
365,Trust,banking,"Decreased credit card limit error"
366,Trust,app,"Easy on-boarding process"
367,Trust,app,"Easy to use bank app"
368,Trust,bank,"New credit card, savings account sign up issue"
369,Trust,app,"Wants more features"
370,Trust,app,"Requested more online features"
371,Trust,banking,"Request for issue resolution"
372,Trust,banking,"Missing voucher reward"
373,Trust,app,"Sign up attempt failed multiple times"
374,Trust,app,"Easy application process"
375,Trust,app,"Unable to access app"
376,Trust,bank,"Customer trying to maintain credit card"
377,Trust,app,"Considering not signing up due to app"
378,Trust,app,"Collects data from Singpass"
379,Trust,banking,"Not fully set up, cannot use"
380,Trust,app,"Applied saving, but process ended"
381,Trust,app,"Cute app, requests not completed"
382,Trust,banking,"Login issue via SingPass"
383,Trust,app,"Easy sign up process praised"
384,Trust,app,"Loves new design, faster"
385,Trust,,"Amazing work TRUST"
386,Trust,app,"Nice card features"
387,Trust,app,"no Passioncard support"
388,Trust,app,"Easy-to-use app, short wait time"
389,Trust,app,"Singpass login issue"
390,Trust,app,"Many one star ratings"
391,Trust,banking,"Spent in Malaysia, Google rate 3"
392,Trust,pending_credit,"Waiting for credit approval"
393,Trust,app,"Forces app usage"
394,Trust,app,"Praises UI/UX"
395,Trust,banking,"Unable to login"
396,Trust,app,"Old iPhone model with latest iOS"
397,Trust,app,"Fast onboarding process"
398,Trust,app,"Referred friends, positive feedback"
399,Trust,app,"User kept receiving notifications"
400,Trust,app,"Great app process"
401,Trust,app,"Agree button issue"
402,Trust,app,"User praises friendly use"
403,Trust,app,"Quick and efficient experience"
404,Trust,app,"Long initial load time"
405,Trust,app,"Unable to adjust settings"
406,Trust,app,"No FX charges praised"
407,Trust,app,"Customer prefers using app for currency exchange"
408,Trust,app,"Can't reactivate biometrics"
409,Trust,app,"Unable to login after changing phone"
410,Trust,banking,"Unable to login"
411,Trust,app,"Enable/Disable feature issue"
412,Trust,app,"Shoutout to designers"
413,Trust,app,"Fast, hassle free app with attractive rates"
414,Trust,app,"Looking forward to card return"
415,Trust,banking,"Payment due date issue"
416,Trust,banking,"Credit card application rejection"
417,Trust,app,"Unable to log in"
418,Trust,app,"fluent user experience"
419,Trust,app,"Trying to access app"
420,Trust,app,"Prefers current app over OCBC"
421,Trust,app,"App error message"
422,Trust,banking,"Lousy customer experience"
423,Trust,banking,"Unable to reveal banking reasons"
424,Trust,banking,"Hotline unanswered"
425,Trust,app,"Needs bonus feature in app"
426,Trust,app,"Linkpoints instant reflection issue"
427,Trust,app,"App hung during card application"
428,Trust,app,"User-friendly interface"
429,Trust,app,"Difficulty finding options"
430,Trust,app,"Face biometric reactivation issue"
431,Trust,app,"Cannot login after reinstall"
432,Trust,app,"Fast connection, positive comment"
433,Trust,app,"Complaint about fee"
434,Trust,app,"Can't use MyInfo for credit card application"
435,Trust,app,"Frustrating card use experience"
436,Trust,app,"Pleasant experience"
437,Trust,app,"Fast E wallet transaction"
438,Trust,banking,"Unfair fee charged"
439,Trust,app,"Learning about Singapore"
440,Trust,banking,"Application still pending"
441,Trust,app,"Simplest, best banking app"
442,Trust,app,"Approval process praise"
443,Trust,app,"Easy process, loving the app"
444,Trust,banking,"Customer wanted to increase limit"
445,Trust,app,"Unable to log in, payment issue"
446,Trust,app,"Frequent updates irritate user"
447,Trust,app,"Mistook debit for credit card"
448,Trust,app,"Unable to connect, error message"
449,Trust,banking,"Unable to register using Singpass"
450,Trust,bank,"EP holder unable to proceed"
451,Trust,app,"Unable to proceed credit card application"
452,Trust,app,"Easy-to-use app, great deals"
453,Trust,app,"Surprisingly good app experience"
454,Trust,none,"Compliments staff"
455,Trust,app,"No charge for convenience withdrawals suggested"
456,Trust,app,"Skeptical about going digital only"
457,Trust,app,"Unable to login repeatedly"
458,Trust,app,"app asking for notifications"
459,Trust,app,"Useful for business"
460,Trust,banking,"Trust aids interest earning"
461,Trust,app,"Unable to apply account via login"
462,Trust,app,"Request for local offers widget"
463,Trust,app,"Reliable, good speed"
464,Trust,app,"Unexpected gift in app"
465,Trust,app,"Singpass identification issue"
466,Trust,banking,"70 credit card applicant issue"
467,Trust,app,"Face ID not working"
468,Trust,bank,"Request for international transfers"
469,Trust,app,"Loves using simple app for card payments"
470,Trust,banking,"Waiting for card approval"
471,Trust,app,"Request for push notifications"
472,Trust,app,"Clean UX needs improvement"
473,Trust,banking,"3 month credit card wait"
474,Trust,app,"App slow to load data"
475,Trust,banking,"Voucher issued during first Trust transaction"
476,Trust,banking,"Unreliable communication"
477,Trust,app,"App can't open several weeks"
478,Trust,banking,"Login issue with Singpass"
479,Trust,banking,"Trying to apply for Trust bank SG saving account"
480,Trust,app,"Fails on phone change"
481,Trust,banking,"Agreed with earlier review on support staff issue"
482,Trust,app,"Easy, user-friendly apps praised"
483,Trust,app,"Two week old link issue"
484,Trust,app,"Likes perks while spending"
485,Trust,app,"Issue with coupon count"
486,Trust,app,"QR code scanning issue"
487,Trust,banking,"Helpline unreachable"
488,Trust,app,"No issues encountered"
489,Trust,banking,"Did not lose large amount"
490,Trust,app,"Savings account auto-application"
491,Trust,app,"App won't close notifications"
492,Trust,app,"User praises app for ease and speed"
493,Trust,banking,"Poor customer service"
494,Trust,app,"Missing phone number field"
495,Trust,app,"Best card recommendation"
496,Trust,app,"Unable to register PayNow account"
497,Trust,banking,"Difficulty contacting bank"
498,Trust,app,"Thanks comment"
499,Trust,app,"App not loading on ios16"
500,Trust,app,"App stuck on main page"
501,Trust,app,"Easy to use app"
502,Trust,app,"Uncertain notifications"
503,Trust,app,"Easy voucher redemption"
504,Trust,banking,"Credit card hold notification issue"
505,Trust,app,"Failed new account sign-up"
506,Trust,banking,"Disappointed with Trust"
507,Trust,app,"Lousy app, poor customer service, unspecified charges"
508,Trust,app,"Good, praises staff"
509,Trust,banking,"Unable to apply for card via myInfo"
510,Trust,banking,"scam request for deposit"
511,Trust,app,"Registration process error"
512,Trust,app,"Gen Z interest doubt"
513,Trust,app,"App fails, try again required"
514,Trust,app,"Unsuccessful sign-up process"
515,Trust,banking,"Returned from overseas, issue with transactions"
516,Trust,none,"Positive feedback"
517,Trust,app,"Used gojek integration positively"
518,Trust,app,"Customer compliments app"
519,Trust,app,"Positive comment on convenience"
520,Trust,banking,"Visited NTUC to apply for credit card"
521,Trust,signup,"Uncertain sign-up issue"
522,Trust,app,"Instant approval delay"
523,Trust,app,"App error message"
524,Trust,app,"Easy and fast app use"
525,Trust,banking,"Applied card last year, issue unknown"
526,Trust,app,"Unable to use Face ID"
527,Trust,app,"App pending status issue"
528,Trust,app,"No link for Ntuc application"
529,Trust,app,"Unable to load app for 2 weeks"
530,Trust,app,"Too many deals on one page"
531,Trust,app,"Error applying for saving account"
532,Trust,app,"Application process for credit card"
533,Trust,app,"Issue with new sign up"
534,Trust,app,"good bank"
535,Trust,app,"Not functioning post-update"
536,Trust,app,"Complimented free drink offer"
537,Trust,banking,"Credit card application issue"
538,Trust,app,"Convenient access to bank"
539,Trust,app,"Positive feedback"
540,Trust,banking,"Long processing time"
541,Trust,app,"App bot approval delay"
542,Trust,app,"Reliable app praised"
543,Trust,app,"App alleged to have fake support"
544,Trust,app,"Received unwanted email invitation"
545,Trust,app,"Loves onboarding"
546,Trust,app,"NTUC member praises card feature"
547,Trust,app,"Did not understand card registration"
548,Trust,banking,"Unable to login to account"
549,Trust,app,"App won't load"
550,Trust,app,"Sign up issue, missed coupon"
551,Trust,app,"App failed PayNow specs"
552,Trust,app,"Easy and useful app"
553,Trust,app,"Customer praises interest rates, no issue stated"
554,Trust,app,"New user login issue"
555,Trust,app,"Cannot open App post-download"
556,Trust,app,"User praises the app"
557,Trust,app,"App does not load on iPhone XS"
558,Trust,app,"App perceived as exclusive"
559,Trust,app,"Sign-up success, but unable to login"
560,Trust,new_account,"excited about new account opening"
561,Trust,app,"Positive sentiment"
562,Trust,app,"User finds app easy"
563,Trust,app,"Request for monthly statement download"
564,Trust,none,"Easy, fast trust bank"
565,Trust,bank,"Do not redeem at this branch"
566,Trust,bank,"Called line chat, no response"
567,Trust,app,"Reported bug, promised resolution"
568,Trust,app,"5-star praise, query about restaurant"
569,Trust,banking,"Vouchers already used"
570,Trust,app,"Request for customer service contact info"
571,Trust,app,"Slow and unhelpful"
572,Trust,app,"Cool appreciation"
573,Trust,banking,"Applied saving account, no response"
574,Trust,app,"Screen content not fully displayed"
575,Trust,app,"Game world takes long time to load"
576,Trust,app,"Difficult to use"
577,Trust,app,"Useless app"
578,Trust,app,"Terrible app, application issue"
579,Trust,app,"preferences for digital banks"
580,Trust,app,"Compliments functions"
581,Trust,banking,"App down, banking issues persist"
582,Trust,app,"Positive comment"
583,Trust,app,"App is smoother than before"
584,Trust,banking,"Waited over a month for issue resolution"
585,Trust,app,"User praises ease of use"
586,Trust,app,"App crashes"
587,Trust,none,"Good offers, free grocery"
588,Trust,bank,"Customer trusts the bank name"
589,Trust,banking,"trust in banking"
590,Trust,app,"Referred, long application process"
591,Trust,app,"Emojis cluttering app interface"
592,Trust,app,"Customer finds app cool"
593,Trust,app,"Multiple vouchers to use"
594,Trust,app,"App won't launch"
595,Trust,banking,"Registration not completed after one month"
596,Trust,none,"Friendly staff interaction"
597,Trust,app,"Loves seamless app"
598,Trust,app,"Good: Sending money"
599,Trust,banking,"Failing to retrieve data"
600,Trust,app,"Seamless first setup"
601,Trust,banking,"Application rejection"
602,Trust,app,"App showing pending transactions"
603,Trust,,"Good services provided"
604,Trust,app,"Positive feedback"
605,Trust,banking,"Unable to pay loan"
606,Trust,app,"Customer querying card colour"
607,Trust,app,"Positive app experience"
608,Trust,app,"Coupon usage issue"
609,Trust,app,"No issues reported"
610,Trust,app,"Unable to scan QR code for payment"
611,Trust,banking,"Credit card application issue"
612,Trust,app,"Convenient for children"
613,Trust,app,"User thanks the bank"
614,Trust,app,"Poor UX/UI, constant errors"
615,Trust,none,"Positive comment on service"
616,Trust,app,"Enjoyed canteen, not related"
617,Trust,app,"Cannot access app"
618,Trust,app,"App frequently crashes"
619,Trust,app,"Enthusiastic app compliment"
620,Trust,banking,"Savings account application denied"
621,Trust,app,"Positive comment"
622,Trust,banking,"Bank forgot customer"
623,Trust,app,"Complimentary comment"
624,Trust,banking,"Unable to login"
625,Trust,app,"easy banking experience"
626,Trust,app,"Customer praises deal"
627,Trust,app,"Positive feedback"
628,Trust,bank,"Wary of this bank"
629,Trust,app,"User finds app good"
630,Trust,app,"Positive comment on app"
631,Trust,None,"No problem stated"
632,Trust,app,"Great app"
633,Trust,app,"Account interface issue: Neng lyn"
634,Trust,app,"Convenient banking app"
635,Trust,app,"User finds app effective"
636,Trust,app,"App crashed, lost transactions"
637,Trust,app,"Easy to use interface"
638,Trust,app,"QR code payment issue"
639,Trust,bank,"Customer expresses concern to bank representatives"
640,Trust,banking,"Missing residential address"
641,Trust,banking,"Unable to use trust vouchers"
642,Trust,app,"Unable to login after sing-in change"
643,Trust,app,"Request for new app feature: pockets"
644,Trust,app,"Singpass login via QR issue"
645,Trust,banking,"Money transfer error"
646,Trust,banking,"Transactions fail despite approval"
647,Trust,banking,"Card not working since Dec"
648,Trust,app,"Limited chances"
649,Trust,app,"Positive comment about the app"
650,Trust,app,"Unable to login after changing phone using Singpass"
651,Trust,app,"Prompts download"
652,Trust,app,"Sending money effective"
653,Trust,app,"User finds app nice"
654,Trust,app,"Easy to use app"
655,Trust,banking,"Credit card app pending"
656,Trust,app,"Unable to open app since October, software update unhelpful"
657,Trust,app,"User requests QR code scan feature"
658,Trust,app,"App doesn't support QR code scanning"
659,Trust,app,"Switching feedback"
660,Trust,registration,"disappointing registration process"
661,Trust,app,"Easy savings account open"
662,Trust,app,"Friend's referral code issue"
663,Trust,banking,"Dangerous bank, unreachable support"
664,Trust,app,"Referral code promotion"
665,Trust,banking,"Paying credit card bill issue"
666,Trust,banking,"Stuck at login"
667,Trust,app,"Long chat link"
668,Trust,app,"Digital bank with vouchers offerings"
669,Trust,app,"No QR code payment"
670,Trust,app,"Referral code promotion"
671,Trust,app,"Newly enjoyed app features"
672,Trust,none,"Quick account opening"
673,Trust,app,"Friend forwarded suspicious link"
674,Trust,app,"User appreciates ease and features"
696,GXS,app,"Asks for finger ID repeatedly"
697,GXS,app,"Not recognizing installed app"
698,GXS,app,"Fingerprint login failed"
699,GXS,app,"First-time registration issue with Singpass"
700,GXS,app,"Requested to ignore previous rating"
701,GXS,banking,"Unable to process application"
702,GXS,app,"Logging issue"
703,GXS,banking,"Fingerprint login not functioning"
704,GXS,app,"Likes multiple pockets feature"
705,GXS,banking,"Fast transfers, quick repayment"
706,GXS,app,"Suggestion to save user inputs"
707,GXS,app,"Generic compliment"
708,GXS,none,"Positive feedback"
709,GXS,app,"Cannot open app"
710,GXS,banking,"Foreign currency application"
711,GXS,app,"Time-wasting app issue"
712,GXS,app,"Three hearts: love the app"
713,GXS,banking,"Long-term user dissatisfied"
714,GXS,app,"App facilitates saving"
715,GXS,app,"Login issue, forgot password feature"
716,GXS,app,"Four star review"
717,GXS,app,"Disappointed with gxbank app"
718,GXS,app,"Can't set phone password"
719,GXS,bank,"Sign up issue last year"
720,GXS,banking,"Unabled to login"
721,GXS,app,"Compliments app"
722,GXS,app,"Stuck on singpass page"
723,GXS,app,"Asking for Google Play availability"
724,GXS,app,"Sign up failure"
725,GXS,app,"Unable to login occasionally"
